species,cosewic_status,assessment_date,source,source_url
American Eel,Threatened,2012-05,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
Bluntnose Minnow,Not at Risk,1998-04,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
Golden Redhorse,Not at Risk,1989-04,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
Hornyhead Chub,Not at Risk,1988-04,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
Least Darter,Not at Risk,1989-04,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
River Chub,Not at Risk,1988-04,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
Rosyface Shiner,Not at Risk,1994-04,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
Tessellated Darter,Not at Risk,1993-04,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
Pugnose Shiner,Endangered,2002-11,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
Redside Dace,Endangered,2007-04,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
Paddlefish,Extirpated,2016-04,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
Spotted Gar,Special Concern,2014-11,"COSEWIC Canadian Wildlife Species at Risk, Oct 2024",https://cosewic.ca/index.php/en/?view=category&id=18
